Title,Subject Description,Course,Section,Hours,CRN,Term,Instructor,Meeting Day,Meeting Time Start,Meeting Time End,Building,Room,Campus,Status, 
INTRODUCTION TO OPERERATIONS RESEARCH Lecture (LEC),MATH,1900,1,4,33708,Summer 2023,McDonald Christopher G.,MTTR,12:30:00,13:45:00,Wentworth Hall,306,Wentworth Institute Technology,8 of 25, 
INTRODUCTION TO OPERERATIONS RESEARCH Lecture (LEC),MATH,1900,2,4,34184,Summer 2023,Habtemicael Semere,MWF,17:00:00,19:20:00,Annex Central,209,Wentworth Institute Technology,9 of 25, 
INTRODUCTION TO ABSTRACT ALGEBRA Lecture (LEC),MATH,4400,1,4,34286,Summer 2023,Qranfal Youssef,MWF,11:00:00,12:15:00,none,0,Wentworth Institute Technology,19 of 25, 
ENGINEERING CALCULUS II Lecture (LEC),MATH,1850,1,4,33704,Summer 2023,Cotton Joseph,MTTR,14:00:00,15:15:00,Annex Central,207,Wentworth Institute Technology,16 of 25, 
ENGINEERING CALCULUS I Lecture (LEC),MATH,1750,1,4,33700,Summer 2023,Cotton Joseph,MTTR,12:30:00,13:45:00,Dobbs Hall,310,Wentworth Institute Technology,24 of 25, 
DIFFERENTIAL EQUATIONS & SYSTEMS MODELING Lecture (LEC),MATH,2750,1,4,33718,Summer 2023,Melfi Lauren,MTTR,9:30:00,10:45:00,Beatty Hall,418,Wentworth Institute Technology,6 of 25, 
DIFFERENTIAL EQUATIONS Lecture (LEC),MATH,2500,1,4,33717,Summer 2023,Melfi Lauren,MTTR,11:00:00,12:15:00,Rubenstein Hall,104,Wentworth Institute Technology,15 of 25, 
APPLIED MATHEMATICS FINAL YEAR DESIGN I Lecture (LEC),MATH,5000,1,4,33724,Summer 2023,Morrow Steven,MTTR,9:30:00,10:45:00,Wentworth Hall,307,Wentworth Institute Technology,17 of 25, 
ACTIVE CALCULUS 2B Lecture (LEC),MATH,1877,1,2,33706,Summer 2023,Cunningham Gabe,MTTR,9:30:00,10:45:00,Online Section,0,Wentworth Institute Technology,23 of 25, 
ACTIVE CALCULUS 2B Lecture (LEC),MATH,1877,2,2,33707,Summer 2023,TBA,MTTR,9:30:00,10:45:00,Online Section,0,Wentworth Institute Technology,23 of 25, 
ACTIVE CALCULUS 2A Lecture (LEC),MATH,1876,1,2,33705,Summer 2023,Cunningham Gabe,MTTR,8:00:00,9:15:00,Online Section,0,Wentworth Institute Technology,22 of 25, 
ACTIVE CALCULUS 1B Lecture (LEC),MATH,1777,1,2,33702,Summer 2023,Henriksen Mel,MTTR,9:30:00,10:45:00,Online Section,0,Wentworth Institute Technology,24 of 25, 
ACTIVE CALCULUS 1B Lecture (LEC),MATH,1777,2,2,33702,Summer 2023,TBA,MTTR,8:00:00,9:15:00,Online Section,0,Wentworth Institute Technology,25 of 25, 
ACTIVE CALCULUS 1A Lecture (LEC),MATH,1776,1,2,33701,Summer 2023,Henriksen Mel,MTTR,8:00:00,9:15:00,Online Section,0,Wentworth Institute Technology,24 of 25, 
